level,game_object_id,transform_id,name,path,active_self,layer,components,component_ids,keyword_match
level74,117,1634,Lighting,Lighting,True,0,Transform;MonoBehaviour,1634;6004,False
level74,118,1635,Camera,ReflectionsAndProbes/MirrorCameras/Blue/Sheet3/Camera,True,0,Transform;Camera;MonoBehaviour,1635;3149;6005,False
level74,119,1636,floor (1),3d field/Visuals/FloorTiles (7)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1636;4444;3167,False
level74,120,1637,FloorTiles (3),3d field/Visuals/FloorTiles (3),True,0,Transform;MonoBehaviour,1637;6006,False
level74,121,1638,Cylinder (10),3d field/Wall (1)/Visuals/Cylinder (10),True,16,Transform;MeshFilter;MeshRenderer,1638;4445;3168,False
level74,122,1639,blue (3),Tapelines/blue (3),True,0,Transform;MeshFilter;MeshRenderer,1639;4446;3169,False
level74,123,1640,floor (4),3d field/Visuals/FloorTiles (5)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1640;4447;3170,False
level74,124,1641,Cylinder (6),3d field/Wall (1)/Visuals/Cylinder (6),True,16,Transform;MeshFilter;MeshRenderer,1641;4448;3171,False
level74,125,1642,disableHJ,Dev/disableHJ,False,0,Transform;MonoBehaviour,1642;6007,False
level74,126,1643,Tapelines,Tapelines,True,0,Transform,1643,False
level74,127,1644,white (2),Tapelines/white (2),True,0,Transform;MeshFilter;MeshRenderer,1644;4449;3172,False
level74,128,1645,floor (2),3d field/Visuals/FloorTiles (3)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1645;4450;3173,False
level74,129,1646,ReflectionsAndProbes,ReflectionsAndProbes,True,0,Transform,1646,False
level74,130,1647,floor (3),3d field/Visuals/FloorTiles (4)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1647;4451;3174,False
level74,131,1648,floor (4),3d field/Visuals/FloorTiles (4)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1648;4452;3175,False
level74,132,1649,Cylinder (1),3d field/Wall (2)/Visuals/Cylinder (1),True,16,Transform;MeshFilter;MeshRenderer,1649;4453;3176,False
level74,133,1650,floor (4),3d field/Visuals/FloorTiles (1)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1650;4454;3177,False
level74,134,1651,Cylinder (7),3d field/Wall (2)/Visuals/Cylinder (7),True,16,Transform;MeshFilter;MeshRenderer,1651;4455;3178,False
level74,135,1652,RedMega (1),ReflectionsAndProbes/MirrorCameras/RedMega (1),True,0,Transform;MeshFilter;MeshRenderer,1652;4456;3179,False
level74,136,1653,floor (0),3d field/Visuals/FloorTiles/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1653;4457;3180,False
level74,137,1654,Adaptive Probe Volume,Lighting/Lights/Adaptive Probe Volume,True,0,Transform;MonoBehaviour,1654;6008,False
level74,138,1655,Cylinder (4),3d field/Wall (2)/Visuals/Cylinder (4),True,16,Transform;MeshFilter;MeshRenderer,1655;4458;3181,False
level74,139,1656,disableRB,Dev/disableRB,False,0,Transform;MonoBehaviour,1656;6009,False
level74,140,1657,white (4),Tapelines/white (4),True,0,Transform;MeshFilter;MeshRenderer,1657;4459;3182,False
level74,141,1658,CameraParent,CameraParent,True,0,Transform,1658,False
level74,142,1659,floor (2),3d field/Visuals/FloorTiles (5)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1659;4460;3183,False
level74,143,1660,RedLights,Lighting/Lights/RedLights,True,0,Transform,1660,False
level74,144,1662,blue (4),Tapelines/blue (4),True,0,Transform;MeshFilter;MeshRenderer,1662;4461;3184,False
level74,145,1663,floor (2),3d field/Visuals/FloorTiles/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1663;4462;3185,False
level74,146,1664,sidewall,3d field/Wall (2)/Physics/sidewall,True,16,Transform;MeshFilter;MeshRenderer;BoxCollider,1664;4463;3186;5765,False
level74,147,1665,FloorTiles (2),3d field/Visuals/FloorTiles (2),True,0,Transform;MonoBehaviour,1665;6010,False
level74,148,1666,floor,3d field/floor,True,28,Transform;MeshFilter;MeshRenderer;BoxCollider,1666;4464;3187;5766,False
level74,149,1667,Cylinder (10),3d field/Wall (2)/Visuals/Cylinder (10),True,16,Transform;MeshFilter;MeshRenderer,1667;4465;3188,False
level74,150,1668,Blue Left Cam,CameraParent/Blue Left Cam,True,0,Transform;Camera;MonoBehaviour,1668;3150;6011,False
level74,151,1669,floor (2),3d field/Visuals/FloorTiles (2)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1669;4466;3189,False
level74,152,1670,BlueLights,Lighting/Lights/BlueLights,True,0,Transform,1670,False
level74,153,1671,DL Depot,Champs/ChampsLights/DL Depot,True,0,Transform;Light;MonoBehaviour,1671;5941;6012,False
level74,154,1672,FloorTiles (1),3d field/Visuals/FloorTiles (1),True,0,Transform;MonoBehaviour,1672;6013,False
level74,155,1673,floor (4),3d field/Visuals/FloorTiles (2)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1673;4467;3190,False
level74,156,1674,Camera,ReflectionsAndProbes/MirrorCameras/Blue/Sheet1/Camera,True,0,Transform;Camera;MonoBehaviour,1674;3151;6014,False
level74,157,1675,redlight (3),Lighting/Lights/RedLights/redlight (3),True,0,Transform;Light;MonoBehaviour,1675;5942;6015,False
level74,158,1676,SizingCubes,SizingCubes,False,0,Transform,1676,False
level74,159,1677,floor (1),3d field/Visuals/FloorTiles (6)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1677;4468;3191,False
level74,160,reference,TopLight,Lighting/Lights/TopLight,True,0,Transform;Light;MonoBehaviour,reference;5943;6016,False
level74,161,1679,Sheet3,ReflectionsAndProbes/MirrorCameras/Blue/Sheet3,True,0,Transform;MeshFilter;MeshRenderer,1679;4469;3192,False
level74,162,1680,floor (0),3d field/Visuals/FloorTiles (5)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1680;4470;3193,False
level74,163,1681,floor (4),3d field/Visuals/FloorTiles (8)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1681;4471;3194,False
level74,164,1682,Baked (5),ReflectionsAndProbes/ReflectionProbesBaked/Baked (5),True,0,Transform;ReflectionProbe,1682;5992,False
level74,165,1683,Cylinder (8),3d field/Wall (1)/Visuals/Cylinder (8),True,16,Transform;MeshFilter;MeshRenderer,1683;4472;3195,False
level74,166,,UserText1,UserText1,True,0,RectTransform;MeshRenderer;CanvasRenderer;MonoBehaviour,6000;3196;5998;6002,False
level74,167,1684,Red Left Cam,CameraParent/Red Left Cam,True,0,Transform;Camera;MonoBehaviour,1684;3152;6017,False
level74,168,1685,Cylinder (12),3d field/Wall (1)/Visuals/Cylinder (12),True,16,Transform;MeshFilter;MeshRenderer,1685;4473;3197,False
level74,169,1686,floor (0),3d field/Visuals/FloorTiles (8)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1686;4474;3198,False
level74,170,1687,Baked (1),ReflectionsAndProbes/ReflectionProbesBaked/Baked (1),True,0,Transform;ReflectionProbe,1687;5993,False
level74,171,1688,Cylinder (2),3d field/Wall (1)/Visuals/Cylinder (2),True,16,Transform;MeshFilter;MeshRenderer,1688;4475;3199,False
level74,172,1689,floor (3),3d field/Visuals/FloorTiles (2)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1689;4476;3200,False
level74,173,1690,floor (0),3d field/Visuals/FloorTiles (6)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1690;4477;3201,False
level74,174,1691,floor (3),3d field/Visuals/FloorTiles (1)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1691;4478;3202,False
level74,175,1692,Camera,ReflectionsAndProbes/MirrorCameras/Blue/Sheet2/Camera,True,0,Transform;Camera;MonoBehaviour,1692;3153;6018,False
level74,176,1693,Cylinder (5),3d field/Wall (1)/Visuals/Cylinder (5),True,16,Transform;MeshFilter;MeshRenderer,1693;4479;3203,False
level74,177,1694,redlight (1),Lighting/Lights/RedLights/redlight (1),True,0,Transform;Light;MonoBehaviour,1694;5944;6019,False
level74,178,1695,floor (4),3d field/Visuals/FloorTiles/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1695;4480;3204,False
level74,179,1696,Cylinder,3d field/Wall (2)/Physics/Cylinder,True,16,Transform;MeshFilter;MeshRenderer;CapsuleCollider,1696;4481;3205;5979,False
level74,180,1697,Cylinder (9),3d field/Wall (1)/Visuals/Cylinder (9),True,16,Transform;MeshFilter;MeshRenderer,1697;4482;3206,False
level74,181,1698,Baked (2),ReflectionsAndProbes/ReflectionProbesBaked/Baked (2),True,0,Transform;ReflectionProbe,1698;5994,False
